Attribute number ,Brand,Model,Model Version,Year,Price (₹),Engine Capacity (cc),Power (hp),Torque (Nm),Top Speed (km/h),Fuel Type,Electric,Transmission Type,ABS,Fuel Tank Capacity (litres),Mileage (kmpl or km/charge),Weight (kg),Type,Country of Origin,Launch Year,Emission Standard,Wheel Type,Cooling Type,Braking System,Battery Capacity (kWh),Range per Charge (km),Charging Time (hours),Length (mm),Width (mm),Height (mm),Seat Height (mm),Seat Type,Wheelbase (mm),Max Power (bhp),Max Power (hp),Max Power (kW),Engine Displacement (cc),Engine Cylinders,Ignition System,Transmission,CO2 (g/km),Max Torque (Nm),Where Available,First Available Date/Release Date,Engine Compression Ratio,Acceleration 0-100 km/h (s),Top Speed (kmph),Storage,Warranty (y),Conclude Date
N258,TVS,Apache RR 310,BTO Kit,2022,88091.0863565916,322.482428214662,12.0560740474047,21.8580600060006,101.292769276928,Electric,Yes,Automatic,No,11.2598708320616,89.0059765976598,130.91797179718,Sport,Japan,2020.08810081008,,Spoke,Air,Disc,3.18353104496856,138.784931726899,4.25604294059445,—,14493.1563156315,—,100,Double,—,—,—,—,—,14.6,—,Manual,—,—,TW,4/29/2021,11.25486111,63.6666666666667,—,Underseat compartment,93.5,
D259,Hero,Splendor Plus,i3S,2018,87188.4483815296,322.187406014619,12.0494831083108,21.8449396339634,101.301074107411,Electric,Yes,Automatic,Yes,11.2553123043712,88.9354275427543,130.943720372037,Commuter,India,2020.08585058506,,Spoke,Air,Disc,3.18293938300713,138.922476702398,4.25333525812281,—,14587.4647464746,—,78,double,—,—,—,—,—,—,—,Manual,—,—,TW,4/30/2021,—,—,—,Yes,96,—
O260,KTM,Duke 390,BS6,2021,86285.8104064666,321.892383814576,12.0428921692169,21.8318192619262,101.309378937894,Electric,Yes,Automatic,No,11.2507537766807,88.8648784878488,130.969468946895,Adventure,Japan,2020.08360036004,,Spoke,Air,Drum,3.1823477210457,139.060021677897,4.25062757565116,—,14681.7731773177,—,—,—,—,—,—,—,—,5.%16,—,Manual,-639.75,—,TW,5/1/2021,,10/7:14,—,No,98.5,
N261,TVS,Apache RTR 160 4V,Disc,2023,85383.1724314046,321.597361614532,12.036301230123,21.818698889889,101.317683768377,Electric,Yes,Automatic,No,11.2461952489903,88.7943294329433,130.995217521752,Sport,Japan,2020.08135013501,,Alloy,Oil,Drum,3.18175605908428,139.197566653396,4.24791989317952,—,14776.0816081608,—,,,—,—,—,—,—,—,—,Manual,-794.4,—,TW,5/2/2021,1:05,—,—,—,—,4/16/2021
D262,Royal Enfield,Himalayan,Standard,2020,84480.5344563416,321.302339414489,12.0297102910291,21.8055785178518,101.32598859886,Electric,Yes,Automatic,No,11.2416367212998,88.7237803780378,131.02096609661,Cruiser,India,2020.07909990999,,Alloy,Liquid,Disc/Drum,3.18116439712285,139.335111628895,4.24521221070788,—,14870.3900390039,—,56,Single,—,—,—,—,—,—,—,Manual,-949.05,—,TW,5/3/2021,36:78/+111,,—,Underseat compartment,,4/17/2021
O263,Suzuki,Gixxer SF,250 ABS,2022,83577.8964812796,321.007317214446,12.0231193519352,21.7924581458146,101.334293429343,Electric,Yes,Automatic,Yes,11.2370781936093,88.6532313231323,131.046714671467,Commuter,India,2020.07684968497,,Spoke,Oil,Drum,3.18057273516142,139.472656604394,4.24250452823623,—,14964.698469847,—,34,Single,—,—,—,—,—,100.&18,—,Manual,-1103.7,—,TW,—,12.25486111,55.6666666666667,—,Underseat compartment,—,4/18/2021
N264,Honda,CB350,DLX Pro,2022,82675.2585062166,320.712295014403,12.0165284128413,21.7793377737774,101.342598259826,Electric,Yes,Automatic,No,11.2325196659189,88.5826822682269,131.072463246325,Commuter,Austria,2020.07459945995,,Spoke,Air,Disc/Drum,3.17998107319999,139.610201579893,4.23979684576459,—,15059.00690069,—,—,Double,—,—,—,—,—,—,—,Manual,—,—,TW,,—,64.1666666666667,—,Yes,101,4/19/2021
D265,Royal Enfield,Meteor 350,Fireball,2023,81772.6205311546,320.41727281436,12.0099374737474,21.7662174017402,101.350903090309,Petrol,No,Automatic,Yes,11.2279611382284,88.5121332133214,131.098211821182,Scooter,Austria,2020.07234923492,BS6,Spoke,Oil,Drum,3.17938941123856,139.747746555392,4.23708916329295,—,15153.3153315331,—,,double,—,—,—,—,—,15.6,—,Manual,—,—,TW,—,,72.6666666666667,—,No,103.5,4/20/2021
O266,KTM,Duke 390,BS6,2020,80869.9825560916,320.122250614316,12.0033465346535,21.753097029703,101.359207920792,Electric,Yes,Automatic,Yes,11.223402610538,88.4415841584159,131.12396039604,Sport,India,2020.0700990099,,Spoke,Air,Disc/Drum,3.17879774927714,139.885291530891,4.23438148082131,—,15247.6237623762,—,12,—,—,—,—,—,—,—,—,Manual,—,—,TW,,2:05,—,—,—,106,4/21/2021
N267,BMW,G 310 R,ABS,2021,79967.3445810296,319.827228414273,11.9967555955596,21.7399766576658,101.367512751275,Petrol,No,Automatic,No,11.2188440828475,88.3710351035104,131.149708970897,Commuter,China,2020.06784878488,BS4,Spoke,Oil,Drum,3.17820608731571,140.02283650639,4.23167379834966,—,15341.9321932193,—,-10,,—,—,—,—,—,5.%17,—,Manual,—,—,TW,5/4/2021,36:78/+112,10/7:15,—,Underseat compartment,108.5,—
D268,Yamaha,FZ-S FI,Version 3.0,2020,79064.7066059666,319.53220621423,11.9901646564656,21.7268562856286,101.375817581758,Petrol,No,Manual,Yes,11.214285555157,88.3004860486049,131.175457545755,Cruiser,India,2020.06559855986,BS6,Alloy,Liquid,Disc/Drum,3.17761442535428,140.160381481889,4.22896611587802,—,15436.2406240624,—,—,Single,—,—,—,—,—,—,—,Manual,—,—,TW,5/5/2021,14.25486111,—,—,Underseat compartment,—,4/13/2021
O269,Suzuki,Gixxer SF,250 ABS,2020,78162.0686309046,319.237184014187,11.9835737173717,21.7137359135914,101.384122412241,Petrol,No,Manual,Yes,11.2097270274666,88.2299369936994,131.201206120612,Adventure,India,2020.06334833483,BS4,Spoke,Oil,Drum,3.17702276339285,140.297926457388,4.22625843340638,—,15530.5490549055,—,,Single,—,—,—,—,—,—,—,Manual,106,—,TW,5/6/2021,—,,—,Yes,,4/14/2021
N270,KTM,Duke 390,BS6,2021,77259.4306558416,318.942161814143,11.9769827782778,21.7006155415542,101.392427242724,Electric,Yes,Automatic,No,11.2051684997761,88.1593879387939,131.22695469547,Cruiser,India,2020.06109810981,,Alloy,Oil,Drum,3.17643110143142,140.435471432887,4.22355075093473,—,15624.8574857485,—,-32,Double,—,—,—,—,—,100.&19,—,Manual,—,—,TW,5/7/2021,,61.6666666666667,—,No,—,4/15/2021
D271,Kawasaki,Ninja 300,KRT Edition,2021,76356.7926807796,318.6471396141,11.9703918391839,21.687495169517,101.400732073207,Electric,Yes,Automatic,Yes,11.2006099720856,88.0888388838884,131.252703270327,Cruiser,Austria,2020.05884788479,,Alloy,Liquid,Disc,3.17583943947,140.573016408386,4.22084306846309,—,15719.1659165916,—,-54,double,—,—,—,—,—,—,—,—,—,—,TW,5/8/2021,3:05,71.6666666666667,—,—,111,4/16/2021
O272,BMW,G 310 R,ABS,2020,75454.1547057166,318.352117414057,11.96380090009,21.6743747974798,101.40903690369,Petrol,No,Automatic,No,11.1960514443952,88.0182898289829,131.278451845185,Adventure,India,2020.05659765977,BS6,Alloy,Liquid,Disc/Drum,3.17524777750857,140.710561383884,4.21813538599145,—,15813.4743474347,—,—,—,—,—,—,—,—,16.6,—,,-768.5,—,TW,5/9/2021,36:78/+113,81.6666666666667,—,Underseat compartment,113.5,4/17/2021
N273,Kawasaki,Z650,BS6,2022,74551.5167306536,318.057095214014,11.9572099609961,21.6612544254426,101.417341734173,Electric,Yes,Automatic,No,11.1914929167047,87.9477407740774,131.304200420042,Cruiser,Japan,2020.05434743474,,Spoke,Air,Disc/Drum,3.17465611554714,140.848106359383,4.2154277035198,—,15907.7827782778,—,,,—,—,—,—,—,—,—,—,-949.1,—,TW,—,15.25486111,—,—,Underseat compartment,116,—
D274,Honda,CB350,DLX Pro,2021,73648.8787555916,317.762073013971,11.9506190219022,21.6481340534054,101.425646564656,Electric,Yes,Automatic,No,11.1869343890143,87.877191719172,131.329948994899,Commuter,China,2020.05209720972,,Spoke,Oil,Drum,3.17406445358571,140.985651334882,4.21272002104816,—,16002.0912091209,—,-76,Single,—,—,—,—,—,5.%18,—,Automatic,-1129.7,—,TW,,—,10/7:16,—,Yes,118.5,
O275,Royal Enfield,Himalayan,Standard,2021,72746.2407805286,317.467050813927,11.9440280828083,21.6350136813681,101.43395139514,Electric,Yes,Automatic,No,11.1823758613238,87.8066426642665,131.355697569757,Cruiser,India,2020.0498469847,,Alloy,Liquid,Drum,3.17347279162428,141.123196310381,4.21001233857652,—,16096.399639964,—,-98,Single,—,—,—,—,—,—,—,Automatic,-1310.3,—,TW,—,,—,—,No,—,—
N276,BMW,S 1000 RR,Pro M Sport,2020,71843.6028054666,317.172028613884,11.9374371437144,21.6218933093309,101.442256225623,Electric,Yes,Automatic,No,11.1778173336333,87.736093609361,131.381446144614,Scooter,Austria,2020.04759675968,,Spoke,Oil,Disc/Drum,3.17288112966286,141.26074128588,4.20730465610487,—,16190.7080708071,—,—,Double,—,—,—,—,—,—,—,Manual,—,—,TW,,4:05,,—,—,,
D277,Hero,Splendor Plus,i3S,2019,70940.9648304036,316.877006413841,11.9308462046205,21.6087729372937,101.450561056106,Petrol,No,Manual,No,11.1732588059429,87.6655445544555,131.407194719472,Scooter,Austria,2020.04534653465,Euro6,Alloy,Liquid,Disc/Drum,3.17228946770143,141.398286261379,4.20459697363323,—,16285.0165016501,—,,double,—,—,—,—,—,100.&20,—,Manual,—,—,—,5/10/2021,36:78/+114,67.6666666666667,—,Underseat compartment,—,4/22/2021
O278,Hero,Xtreme 160R,Stealth Edition,2023,70038.3268553416,316.581984213798,11.9242552655266,21.5956525652565,101.458865886589,Electric,Yes,Automatic,No,11.1687002782524,87.59499549955,131.432943294329,Commuter,Japan,2020.04309630963,,Spoke,Liquid,Disc,3.17169780574,141.535831236878,4.20188929116159,—,16379.3249324932,—,-120,—,—,—,—,—,—,—,—,Manual,—,—,—,5/11/2021,15.25486111,79.1666666666667,—,Underseat compartment,121,4/23/2021
N279,Bajaj,Pulsar 150,Twin Disc,2019,69135.6888802786,316.286962013754,11.9176643264326,21.5825321932193,101.467170717072,Petrol,No,Manual,Yes,11.164141750562,87.5244464446445,131.458691869187,Commuter,Japan,2020.04084608461,BS6,Spoke,Oil,Disc/Drum,3.17110614377857,141.673376212377,4.19918160868994,—,16473.6333633363,—,-142,,—,—,—,—,—,17.6,—,Manual,—,—,—,5/12/2021,—,90.6666666666667,—,Yes,123.5,4/24/2021
D280,Royal Enfield,Meteor 350,Fireball,2021,68233.0509052166,315.991939813711,11.9110733873387,21.5694118211821,101.475475547555,Electric,Yes,Automatic,No,11.1595832228715,87.453897389739,131.484440444044,Commuter,China,2020.03859585959,,Alloy,Air,Drum,3.17051448181714,141.810921187876,4.1964739262183,—,16567.9417941794,—,—,Single,—,—,—,—,—,—,—,Manual,—,—,—,5/13/2021,,—,—,No,126,4/25/2021
O281,Bajaj,Pulsar 150,Twin Disc,2021,67330.4129301536,315.696917613668,11.9044824482448,21.5562914491449,101.483780378038,Electric,Yes,Automatic,Yes,11.155024695181,87.3833483348335,131.510189018902,Scooter,Austria,2020.03634563456,,Spoke,Liquid,Disc/Drum,3.16992281985571,141.948466163375,4.19376624374666,—,16662.2502250225,—,,Single,—,—,—,—,—,5.%19,—,Manual,107,—,—,5/14/2021,5:05,10/7:17,—,—,128.5,4/26/2021
N282,Hero,Xtreme 160R,Stealth Edition,2023,66427.7749550916,315.401895413625,11.8978915091509,21.5431710771077,101.492085208521,Electric,Yes,Automatic,No,11.1504661674906,87.312799279928,131.535937593759,Cruiser,China,2020.03409540954,,Spoke,Liquid,Disc/Drum,3.16933115789429,142.086011138874,4.19105856127501,—,16756.5586558656,—,-164,Double,—,—,—,—,—,—,—,Manual,—,—,—,5/15/2021,36:78/+115,—,—,Underseat compartment,—,4/27/2021
D283,Honda,CB350,DLX Pro,2023,65525.1369800286,315.106873213582,11.891300570057,21.5300507050705,101.500390039004,Petrol,No,Manual,Yes,11.1459076398001,87.2422502250225,131.561686168617,Cruiser,India,2020.03184518452,BS6,Spoke,Liquid,Disc,3.16873949593286,142.223556114373,4.18835087880337,—,16850.8670867086,—,-186,double,—,—,—,—,—,—,—,Manual,—,—,—,—,17.25486111,,—,Underseat compartment,,—
O284,BMW,S 1000 RR,Pro M Sport,2021,64622.4990049666,314.811851013538,11.8847096309631,21.5169303330333,101.508694869487,Petrol,No,Automatic,Yes,11.1413491121097,87.171701170117,131.587434743474,Adventure,India,2020.0295949595,Euro6,Alloy,Liquid,Disc,3.16814783397143,142.361101089872,4.18564319633173,—,16945.1755175517,—,—,—,—,—,—,—,—,100.&21,—,Manual,-897.25,—,—,,—,73.6666666666667,—,Yes,—,4/18/2021
N285,Harley-Davidson,Street 750,Standard,2018,63719.8610299036,314.516828813495,11.8781186918692,21.5038099609961,101.51699969997,Electric,Yes,Automatic,Yes,11.1367905844192,87.1011521152116,131.613183318332,Sport,China,2020.02734473447,,Spoke,Liquid,Drum,3.16755617201,142.498646065371,4.18293551386009,—,17039.4839483948,—,,,—,—,—,—,—,—,—,Manual,-1103.8,—,—,—,,86.6666666666667,—,No,131,4/19/2021
D286,Honda,CB350,DLX Pro,2022,62817.2230548416,314.221806613452,11.8715277527753,21.4906895889589,101.525304530453,Electric,Yes,Automatic,Yes,11.1322320567287,87.0306030603061,131.638931893189,Scooter,Japan,2020.02509450945,,Spoke,Liquid,Drum,3.16696451004857,142.63619104087,4.18022783138844,—,17133.7923792379,—,-208,Single,—,—,—,—,—,18.6,—,Manual,-1310.35,—,—,,6:05,99.6666666666667,—,—,133.5,4/20/2021
O287,KTM,Duke 390,BS6,2021,61914.5850797786,313.926784413409,11.8649368136814,21.4775692169217,101.533609360936,Electric,Yes,Automatic,Yes,11.1276735290383,86.9600540054006,131.664680468047,Cruiser,Austria,2020.02284428443,,Spoke,Oil,Disc,3.16637284808715,142.773736016369,4.1775201489168,—,17228.100810081,—,-230,Single,—,—,—,—,—,—,—,Manual,-1516.9,—,—,5/16/2021,36:78/+116,—,—,Underseat compartment,136,4/21/2021
N288,Hero,Splendor Plus,i3S,2020,61011.9471047166,313.631762213366,11.8583458745875,21.4644488448845,101.541914191419,Petrol,No,Automatic,Yes,11.1231150013478,86.8895049504951,131.690429042904,Sport,India,2020.02059405941,BS5,Spoke,Liquid,Disc/Drum,3.16578118612572,142.911280991868,4.17481246644516,—,17322.4092409241,—,—,Double,—,—,—,—,—,5.%20,—,Manual,—,—,—,5/17/2021,18.25486111,10/7:18,—,Underseat compartment,138.5,4/22/2021
D289,Yamaha,R15 V4,Racing Blue,2023,60109.3091296536,313.336740013322,11.8517549354935,21.4513284728473,101.550219021902,Electric,Yes,Automatic,No,11.1185564736574,86.8189558955896,131.716177617762,Scooter,Japan,2020.01834383438,,Alloy,Air,Disc,3.16518952416429,143.048825967367,4.17210478397351,—,17416.7176717671,—,,double,—,—,—,—,—,—,—,—,—,—,—,5/18/2021,—,—,—,Yes,—,—
O290,BMW,G 310 R,ABS,2021,59206.6711545916,313.041717813279,11.8451639963996,21.4382081008101,101.558523852385,Electric,Yes,Automatic,No,11.1139979459669,86.7484068406841,131.741926192619,Adventure,India,2020.01609360936,,Alloy,Oil,Disc,3.16459786220286,143.186370942866,4.16939710150187,—,17511.0261026102,—,-252,—,—,—,—,—,—,—,—,,—,—,—,5/19/2021,,,—,No,,
N291,Hero,Splendor Plus,i3S,2018,58304.0331795286,312.746695613236,11.8385730573057,21.4250877287729,101.566828682868,Electric,Yes,Automatic,Yes,11.1094394182764,86.6778577857786,131.767674767477,Cruiser,Japan,2020.01384338434,,Spoke,Oil,Drum,3.16400620024143,143.323915918365,4.16668941903023,—,17605.3345334533,—,-274,,—,—,—,—,—,100.&22,—,—,—,—,—,5/20/2021,7:05,79.6666666666667,—,—,—,—
D292,TVS,Apache RR 310,BTO Kit,2022,57401.3952044666,312.451673413193,11.8319821182118,21.4119673567357,101.575133513351,Electric,Yes,Automatic,Yes,11.104880890586,86.6073087308731,131.793423342334,Sport,Japan,2020.01159315932,,Spoke,Oil,Disc/Drum,3.16341453828001,143.461460893864,4.16398173655858,—,17699.6429642964,—,—,Single,—,—,—,—,—,—,—,Automatic,—,—,—,5/21/2021,36:78/+117,94.1666666666667,—,Underseat compartment,141,
O293,Kawasaki,Z650,BS6,2023,56498.7572294036,312.156651213149,11.8253911791179,21.3988469846985,101.583438343834,Electric,Yes,Automatic,No,11.1003223628955,86.5367596759676,131.819171917192,Scooter,Japan,2020.00934293429,,Spoke,Oil,Disc/Drum,3.16282287631858,143.599005869363,4.16127405408694,—,17793.9513951395,—,,Single,—,—,—,—,—,19.6,—,Automatic,108,—,—,—,18.25486111,108.666666666667,—,Underseat compartment,143.5,4/28/2021
N294,Bajaj,Dominar 400,ABS,2023,55596.1192543416,311.861629013106,11.818800240024,21.3857266126613,101.591743174317,Electric,Yes,Automatic,Yes,11.0957638352051,86.4662106210621,131.844920492049,Commuter,Japan,2020.00709270927,,Spoke,Oil,Disc,3.16223121435715,143.736550844862,4.1585663716153,—,17888.2598259826,—,-296,Double,—,—,—,—,—,—,—,Manual,—,—,—,,—,—,—,Yes,146,4/29/2021
D295,Royal Enfield,Himalayan,Standard,2020,54693.4812792786,311.566606813063,11.8122093009301,21.3726062406241,101.6000480048,Petrol,No,Automatic,Yes,11.0912053075146,86.3956615661567,131.870669066907,Adventure,India,2020.00484248425,Euro5,Spoke,Oil,Drum,3.16163955239572,143.874095820361,4.15585868914365,—,17982.5682568257,—,-318,double,—,—,—,—,—,5.%21,—,Manual,—,—,—,—,,10/7:19,—,No,148.5,4/30/2021
O296,KTM,Duke 390,BS6,2020,$181293,311.27158461302,11.8056183618362,21.3594858685869,101.608352835284,Petrol,No,Automatic,No,11.0866467798241,86.3251125112512,131.896417641764,Commuter,China,2020.00259225923,Euro5,Alloy,Air,Disc/Drum,3.16104789043429,144.01164079586,4.15315100667201,—,18076.8766876687,—,—,—,—,—,—,—,—,—,—,Manual,-1026,—,—,,8:05,—,—,—,—,5/1/2021
N297,Yamaha,R15 V4,Racing Blue,2021,122317.5,310.976562412977,11.7990274227423,21.3463654965497,101.616657665767,Electric,Yes,Automatic,Yes,11.0820882521337,86.2545634563457,131.922166216622,Scooter,India,2020.0003420342,,Spoke,Air,Disc,3.16045622847287,144.149185771358,4.15044332420037,—,18171.1851185118,—,,,—,—,—,—,—,—,—,Manual,-1258.5,—,—,5/20/2021,36:78/+118,,—,Underseat compartment,,5/2/2021
D298,TVS,Apache RTR 160 4V,Disc,2023,87606.3,310.681540212933,11.7924364836484,21.3332451245125,101.62496249625,Electric,Yes,Automatic,Yes,11.0775297244432,86.1840144014402,131.947914791479,Adventure,Austria,2019.99809180918,,Alloy,Air,Disc/Drum,3.15986456651144,144.286730746857,4.14773564172872,—,18265.4935493549,—,-340,Single,—,—,—,—,—,100.&23,—,Manual,-1491,—,—,5/21/2021,19.25486111,85.6666666666667,—,Underseat compartment,—,5/3/2021
O299,Hero,Xtreme 160R,Stealth Edition,2023,52895.1,310.38651801289,11.7858455445545,21.3201247524753,101.633267326733,Electric,Yes,Automatic,Yes,11.0729711967528,86.1134653465347,131.973663366337,Cruiser,Japan,2019.99584158416,,Alloy,Air,Disc,3.15927290455001,144.424275722356,4.14502795925708,—,18359.801980198,—,-362,Single,—,—,—,—,—,—,—,Manual,-1723.5,—,—,5/22/2021,—,101.666666666667,—,Yes,146,—
N300,Hero,Splendor Plus,i3S,2019,18183.9,310.091495812847,11.7792546054605,21.3070043804381,101.641572157216,Petrol,No,Manual,Yes,11.0684126690623,86.0429162916292,131.999411941194,Sport,Austria,2019.99359135914,Euro5,Spoke,Oil,Disc,,,,—,18454.1104110411,—,—,Double,—,—,—,—,—,20.6,—,Manual,—,—,—,5/23/2021,,117.666666666667,—,No,148.5,4/23/2021
D301,Yamaha,R15 V4,Racing Blue,2022,107840.666666667,309.796473612804,11.7726636663666,21.2938840084009,101.649876987699,Petrol,No,Automatic,Yes,11.0638541413718,85.9723672367237,132.025160516052,Sport,Austria,2019.99134113411,Euro7,Spoke,Oil,Disc/Drum,,,,1827.54901960784,18548.4188418842,1100,697.666666666667,Single,1312.5,-3.23,-2.79,-2.03333333333333,—,—,—,Automatic,-87.5,138.945907492832,TW,3/18/2021,14:05,15,6,Underseat compartment,21,4/24/2021
O302,TVS,Apache RR 310,BTO Kit,2021,98414.6666666667,309.501451412761,11.7660727272727,21.2807636363636,101.658181818182,Petrol,No,Automatic,No,11.0592956136814,85.9018181818182,132.050909090909,Sport,India,2019.98909090909,BS2,Alloy,Liquid,Drum,,,,1828.52941176471,18642.7272727272,1100,686.666666666667,Single,1320,-4.82,-4.29,-3.13333333333333,—,7.6,—,Automatic,-116,140.430120009326,TW,3/18/2021,36:78/+100,17,-6,Underseat compartment,23.5,4/25/2021
N303,Honda,CB350,DLX Pro,2023,88988.6666666667,309.206429212717,11.7594817881788,21.2676432643264,101.666486648665,Electric,Yes,Automatic,Yes,11.0547370859909,85.8312691269127,132.076657665767,Cruiser,India,2019.98684068407,,Spoke,Liquid,Drum,3.15868124258858,144.561820697855,4.14232027678544,1829.50980392157,18737.0357035703,1100,675.666666666667,Single,1327.5,-6.41,-5.79,-4.23333333333333,—,—,—,Automatic,-144.5,141.91433252582,TW,3/19/2021,2.254861111,—,-18,Underseat compartment,26,4/26/2021
D304,TVS,Apache RTR 160 4V,Disc,2020,79562.6666666667,308.911407012674,11.7528908490849,21.2545228922892,101.674791479148,Electric,Yes,Automatic,No,11.0501785583005,85.7607200720072,132.102406240624,Commuter,India,2019.98459045905,,Alloy,Air,Drum,3.15808958062715,144.699365673354,4.13961259431379,1830.49019607843,18831.3441344134,1100,—,Single,—,—,—,—,—,5.%9,—,Manual,—,143.398545042314,TW,3/20/2021,—,10/7:7,—,Yes,28.5,4/27/2021
O305,Yamaha,FZ-S FI,Version 3.0,2023,70136.6666666667,308.616384812631,11.746299909991,21.241402520252,101.683096309631,Petrol,No,Automatic,Yes,11.04562003061,85.6901710171017,132.128154815482,Commuter,Japan,2019.98234023402,BS4,Alloy,Air,Disc/Drum,3.15749791866573,144.836910648853,4.13690491184215,1831.47058823529,18925.6525652565,1100,,Single,—,—,—,—,—,—,—,Manual,—,144.882757558808,TW,3/21/2021,,—,—,No,—,—
N306,Suzuki,Gixxer SF,250 ABS,2020,60710.6666666667,308.321362612588,11.7397089708971,21.2282821482148,101.691401140114,Electric,Yes,Automatic,No,11.0410615029195,85.6196219621963,132.153903390339,Commuter,China,2019.980090009,,Spoke,Liquid,Disc,3.1569062567043,144.974455624352,4.13419722937051,1832.45098039216,19019.9609960996,1100,628,Single,—,—,—,—,—,—,—,Manual,—,146.366970075301,TW,3/22/2021,15:05,,—,—,,
D307,Hero,Xtreme 160R,Stealth Edition,2020,$108096,308.026340412544,11.7331180318032,21.2151617761776,101.699705970597,Electric,Yes,Automatic,No,11.0365029752291,85.5490729072908,132.179651965197,Sport,Austria,2019.97783978398,,Alloy,Oil,Disc/Drum,3.15631459474287,145.112000599851,4.13148954689886,1833.43137254902,19114.2694269427,1100,606,Single,—,—,—,—,—,100.&11,—,Manual,—,147.851182591795,TW,3/23/2021,36:78/+101,-2.83333333333334,—,Underseat compartment,—,—
O308,Kawasaki,Z650,BS6,2020,53790.8433042166,307.731318212501,11.7265270927093,21.2020414041404,101.70801080108,Petrol,No,Manual,No,11.0319444475386,85.4785238523853,132.205400540054,Cruiser,Austria,2019.97558955896,Euro5,Spoke,Air,Drum,3.15572293278144,145.24954557535,4.12878186442722,1834.41176470588,19208.5778577857,1100,—,Single,—,—,—,—,—,—,—,Manual,—,149.335395108289,TW,3/24/2021,1.254861111,-6.33333333333334,—,Underseat compartment,31,
N309,Yamaha,R15 V4,Racing Blue,2021,52888.2053291536,307.436296012458,11.7199361536154,21.1889210321032,101.716315631563,Electric,Yes,Automatic,Yes,11.0273859198482,85.4079747974798,132.231149114911,Scooter,Japan,2019.97333933393,,Alloy,Air,Disc/Drum,3.15513127082001,145.387090550849,4.12607418195558,1835.39215686275,19302.8862886288,1100,,Single,—,—,—,—,—,8.6,—,Manual,100,150.819607624783,TW,3/25/2021,—,-9.83333333333334,—,Yes,33.5,5/4/2021
D310,Kawasaki,Z650,BS6,2022,51985.5673540906,307.141273812415,11.7133452145215,21.175800660066,101.724620462046,Electric,Yes,Automatic,Yes,11.0228273921577,85.3374257425743,132.256897689769,Cruiser,Austria,2019.97108910891,,Alloy,Liquid,Disc/Drum,3.15453960885858,145.524635526348,4.12336649948394,1836.37254901961,19397.1947194719,1100,584,Single,—,—,—,—,—,—,—,Manual,—,152.303820141277,TW,3/26/2021,,—,—,No,36,5/5/2021
O311,Royal Enfield,Meteor 350,Fireball,2022,51082.9293790286,306.846251612371,11.7067542754275,21.1626802880288,101.732925292529,Electric,Yes,Automatic,No,11.0182688644672,85.2668766876688,132.282646264626,Sport,China,2019.96883888389,,Spoke,Liquid,Disc,3.15394794689716,145.662180501847,4.12065881701229,1837.35294117647,19491.503150315,1100,562,Single,1837.5,-2.03333333333333,—,—,—,5.%10,—,Manual,—,153.78803265777,TW,3/27/2021,16:05,10/7:8,—,—,38.5,5/6/2021
N312,KTM,RC 200,GP Edition,2023,50180.2914039656,306.551229412328,11.7001633363336,21.1495599159916,101.741230123012,Electric,Yes,Automatic,Yes,11.0137103367768,85.1963276327633,132.308394839484,Sport,Austria,2019.96658865887,,Spoke,Air,Drum,3.15335628493573,145.799725477346,4.11795113454065,1838.33333333333,19585.8115811581,1100,—,Single,1845,-3.13333333333333,—,—,—,—,—,Manual,-328.15,155.272245174264,TW,3/28/2021,36:78/+102,—,—,Underseat compartment,—,5/7/2021
D313,Royal Enfield,Himalayan,Standard,2020,49277.6534289036,306.256207212285,11.6935723972397,21.1364395439544,101.749534953495,Petrol,No,Automatic,Yes,11.0091518090863,85.1257785778578,132.334143414341,Commuter,India,2019.96433843384,Euro5,Spoke,Air,Disc/Drum,3.1527646229743,145.937270452845,4.11524345206901,1839.3137254902,19680.1200120012,1100,,Single,1852.5,-4.23333333333333,—,—,—,—,—,Manual,-379,156.756457690758,TW,—,4.254861111,,—,Underseat compartment,,5/8/2021
O314,TVS,Apache RTR 160 4V,Disc,2019,48375.0154538406,305.961185012242,11.6869814581458,21.1233191719172,101.757839783978,Electric,Yes,Automatic,No,11.0045932813959,85.0552295229523,132.359891989199,Cruiser,China,2019.96208820882,,Spoke,Oil,Disc,3.15217296101287,146.074815428344,4.11253576959736,1840.29411764706,19774.4284428443,1100,540,Single,1860,—,—,—,—,100.&12,—,Manual,-429.85,158.240670207252,TW,,—,7.66666666666667,—,Yes,—,5/9/2021
N315,Hero,Xtreme 160R,Stealth Edition,2020,47472.3774787786,305.666162812199,11.6803905190519,21.11019879988,101.766144614461,Petrol,No,Automatic,No,11.0000347537054,84.9846804680468,132.385640564056,Adventure,Austria,2019.9598379838,BS6,Alloy,Liquid,Drum,3.15158129905144,146.212360403843,4.10982808712572,1841.27450980392,19868.7368736873,1100,518,Single,1867.5,—,—,—,—,—,—,Manual,-480.7,159.724882723746,TW,—,,5.66666666666667,—,No,41,—
